D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_44_542.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_44_542.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_44_542.jpg, 0, 0, 0, 7.785791E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_44_686.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_44_686.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_44_686.jpg, 0, 0, 0, 7.892602E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_44_787.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_44_787.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_44_787.jpg, 0, 0, 0, 7.820074E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_44_887.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_44_887.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_44_887.jpg, 0, 0, 0, 7.90306E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_44_990.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_44_990.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_44_990.jpg, 0, 0, 0, 7.858864E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_45_094.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_45_094.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_45_094.jpg, 0, 0, 0, 7.816944E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_45_198.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_45_198.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_45_198.jpg, 0, 0, 0, 7.815788E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_45_300.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_45_300.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_45_300.jpg, 0, 0, 0, 7.808513E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_45_402.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_45_402.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_45_402.jpg, 0, 0, 0, 7.803609E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_45_506.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_45_506.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_45_506.jpg, 0, 0, 0, 7.955599E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_45_610.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_45_610.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_45_610.jpg, 0, 0, 0, 8.023857E-05
D:\Proyectos\self-driving-udemy\simulator\data\IMG\center_2019_08_23_16_56_45_711.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\left_2019_08_23_16_56_45_711.jpg, D:\Proyectos\self-driving-udemy\simulator\data\IMG\right_2019_08_23_16_56_45_711.jpg, 0, 0, 0, 7.939569E-05
